Test Time(ms),Current(A),Inlet Temp,Outlet Temp,Thermocouple Temperature,Average Tab Temp,Test Time (s)
7470480,14.0159,28.2504331,28.9606276,25.2436,28.60553035,1398.25
7471480,14.0159,28.149592,28.6814752,25.2714,28.4155336,1399.25
7472480,14.0157,28.1695033,28.6982074,25.2789,28.43385535,1400.25
7473480,14.016,28.2583548,28.7628064,25.2545,28.5105806,1401.25
7474480,14.016,28.4155042,28.4734876,25.2864,28.4444959,1402.25
7475480,14.016,28.1395293,28.6706734,25.2764,28.40510135,1403.25
7476480,14.0159,28.2810494,28.5745162,25.3078,28.4277828,1404.25
7477480,14.0159,28.4208567,28.4853484,25.2695,28.45310255,1405.25
7478480,14.0159,28.0748711,28.9508848,25.2195,28.51287795,1406.25
7479480,14.0158,28.1243282,28.6183588,25.2414,28.3713435,1407.25
7480480,14.0159,28.5683716,28.4866192,25.2612,28.5274954,1408.25
7481480,14.0159,28.1170488,28.5696448,25.2851,28.3433468,1409.25
7482480,14.0157,28.1525894,28.6158172,25.3026,28.3842033,1410.25
7483480,14.0159,28.1435972,28.578964,25.306,28.3612806,1411.25
7484480,14.0158,28.4846585,28.457179,25.3262,28.47091875,1412.25
7485480,14.0159,28.0504637,28.4419294,25.3105,28.24619655,1413.25
7486480,14.016,28.0329075,28.656271,25.2576,28.34458925,1414.25
7487480,14.016,28.0243435,28.5359686,25.3586,28.28015605,1415.25
7488480,14.0158,28.3375718,28.5306736,25.2962,28.4341227,1416.25
7489480,14.0156,28.0324793,28.5690094,25.2739,28.30074435,1417.25
7490480,14.0158,27.8753299,28.3974514,25.3044,28.13639065,1418.25
7491480,14.0157,27.9988656,28.5491002,25.2595,28.2739829,1419.25
7492480,14.0159,28.0633097,28.45612,25.305,28.25971485,1420.25
7493480,14.0159,27.929069,28.3690702,25.2855,28.1490696,1421.25
7494480,14.016,27.9459829,28.4743348,25.331,28.21015885,1422.25
7495480,14.0159,27.9729595,28.4955148,25.301,28.23423715,1423.25
7496480,14.0158,27.9892311,28.3980868,25.3299,28.19365895,1424.25
7497480,14.016,27.7674235,28.3716118,25.3331,28.06951765,1425.25
